filename,x,y,source_x,source_y
mirror_Vertical_velocity_17_Source_x_-0.375_Source_y_-0.825.txt,-0.300,-0.825,-0.375,-0.825
mirror_Vertical_velocity_17_Source_x_-0.3_Source_y_-0.9.txt,-0.300,-0.825,-0.300,-0.900
mirror_Vertical_velocity_17_Source_x_-0.3_Source_y_-0.75.txt,-0.300,-0.825,-0.300,-0.750
mirror_Vertical_velocity_17_Source_x_-0.225_Source_y_-0.825.txt,-0.300,-0.825,-0.225,-0.825
Vertical_velocity_17_Source_x_-0.375_Source_y_0.825.txt,-0.300,0.825,-0.375,0.825
Vertical_velocity_17_Source_x_-0.3_Source_y_0.75.txt,-0.300,0.825,-0.300,0.750
Vertical_velocity_17_Source_x_-0.3_Source_y_0.9.txt,-0.300,0.825,-0.300,0.900
Vertical_velocity_17_Source_x_-0.225_Source_y_0.825.txt,-0.300,0.825,-0.225,0.825
mirror_Vertical_velocity_17_Source_x_0.225_Source_y_-0.825.txt,0.300,-0.825,0.225,-0.825
mirror_Vertical_velocity_17_Source_x_0.3_Source_y_-0.9.txt,0.300,-0.825,0.300,-0.900
mirror_Vertical_velocity_17_Source_x_0.3_Source_y_-0.75.txt,0.300,-0.825,0.300,-0.750
mirror_Vertical_velocity_17_Source_x_0.375_Source_y_-0.825.txt,0.300,-0.825,0.375,-0.825
mirror_Vertical_velocity_17_Source_x_0.225_Source_y_0.825.txt,0.300,0.825,0.225,0.825
mirror_Vertical_velocity_17_Source_x_0.3_Source_y_0.75.txt,0.300,0.825,0.300,0.750
mirror_Vertical_velocity_17_Source_x_0.3_Source_y_0.9.txt,0.300,0.825,0.300,0.900
mirror_Vertical_velocity_17_Source_x_0.375_Source_y_0.825.txt,0.300,0.825,0.375,0.825
mirror_Vertical_velocity_18_Source_x_-0.225_Source_y_-0.825.txt,-0.150,-0.825,-0.225,-0.825
mirror_Vertical_velocity_18_Source_x_-0.15_Source_y_-0.9.txt,-0.150,-0.825,-0.150,-0.900
mirror_Vertical_velocity_18_Source_x_-0.15_Source_y_-0.75.txt,-0.150,-0.825,-0.150,-0.750
mirror_Vertical_velocity_18_Source_x_-0.075_Source_y_-0.825.txt,-0.150,-0.825,-0.075,-0.825
Vertical_velocity_18_Source_x_-0.225_Source_y_0.825.txt,-0.150,0.825,-0.225,0.825
Vertical_velocity_18_Source_x_-0.15_Source_y_0.75.txt,-0.150,0.825,-0.150,0.750
Vertical_velocity_18_Source_x_-0.15_Source_y_0.9.txt,-0.150,0.825,-0.150,0.900
Vertical_velocity_18_Source_x_-0.075_Source_y_0.825.txt,-0.150,0.825,-0.075,0.825
mirror_Vertical_velocity_18_Source_x_0.075_Source_y_-0.825.txt,0.150,-0.825,0.075,-0.825
mirror_Vertical_velocity_18_Source_x_0.15_Source_y_-0.9.txt,0.150,-0.825,0.150,-0.900
mirror_Vertical_velocity_18_Source_x_0.15_Source_y_-0.75.txt,0.150,-0.825,0.150,-0.750
mirror_Vertical_velocity_18_Source_x_0.225_Source_y_-0.825.txt,0.150,-0.825,0.225,-0.825
